資料日期,2026/08/12
檔案標籤日,2026/08/12
持股來源,finmind
FinMind資料集,TaiwanStockActiveETFHolding
FinMind查詢ETF,00981A
基金資產淨值,307156775719.386658
淨資產估算方式,finmind_futures_notional_market_value+finmind_market_value_div_weight

股票代號,股票名稱,持股權重,股數
2330,台積電,9.540000,12134000
2383,台光電,9.070000,4863000
2454,聯發科,7.120000,5448000
3037,欣興,6.580000,20210000
3017,奇鋐,5.590000,5900000
6223,旺矽,5.250000,2443000
2327,國巨,4.990000,25437000
6669,緯穎,4.900000,2496000
2345,智邦,4.630000,6419000
2308,台達電,4.120000,7070000
8046,南電,3.970000,9634000
3711,日月光投控,3.950000,19529000
2303,聯電,3.510000,87718000
3653,健策,3.460000,2375000
3665,貿聯-KY,3.240000,4616848
6274,台燿,2.870000,5499000
5274,信驊,2.740000,484900
6805,富世達,1.350000,2265000
2368,金像電,1.300000,4000000
2449,京元電子,0.950000,11295450
8210,勤誠,0.820000,2497000
6187,萬潤,0.500000,1334000
4979,華星光,0.440000,2424000
2360,致茂,0.440000,622000
6510,精測,0.440000,478000
8996,高力,0.310000,802000
4958,臻鼎-KY,0.260000,1682000
3264,欣銓,0.220000,3080000
6278,台表科,0.180000,3250000
6271,同欣電,0.140000,2224000
6191,精成科,0.110000,3988000
3376,新日興,0.110000,1741000
6515,穎崴,0.050000,23000
4966,譜瑞-KY,0.030000,140000
2002,中鋼,0.030000,5163000
8358,金居,0.000000,1000
3661,世芯-KY,0.000000,1000
3443,創意,0.000000,1000
2439,美律,0.000000,1000
1590,亞德客-KY,0.000000,1000
3008,大立光,0.000000,1000
2382,廣達,0.000000,1000
3533,嘉澤,0.000000,1000
2408,南亞科,0.000000,1000
6488,環球晶,0.000000,1000
2313,華通,0.000000,1000
8150,南茂,0.000000,1000
2317,鴻海,0.000000,1000
5347,世界,0.000000,1000
2481,強茂,0.000000,5000
